date,variant
2021-03-08,original
2021-03-08,original
2021-03-08,original
2021-03-08,original
2021-03-08,original
2021-03-08,original
2021-03-08,original
2021-03-08,original
2021-03-08,original
2021-03-09,original
2021-03-09,original
2021-03-09,original
2021-03-09,original
2021-03-09,original
2021-03-09,original
2021-03-09,original
2021-03-09,original
2021-03-09,original
2021-03-09,original
2021-03-09,original
2021-03-09,original
2021-03-09,original
2021-03-09,original
2021-03-09,original
2021-03-09,original
2021-03-09,original
2021-03-10,original
2021-03-10,original
2021-03-10,original
2021-03-10,original
2021-03-10,original
2021-03-10,original
2021-03-10,original
2021-03-10,original
2021-03-10,original
2021-03-10,original
2021-03-10,original
2021-03-10,original
2021-03-10,original
2021-03-10,original
2021-03-10,original
2021-03-10,original
2021-03-10,original
2021-03-10,original
2021-03-10,original
2021-03-11,original
2021-03-11,original
2021-03-11,original
2021-03-11,original
2021-03-11,original
2021-03-11,original
2021-03-11,original
2021-03-11,original
2021-03-11,original
2021-03-11,original
2021-03-11,original
2021-03-11,original
2021-03-11,original
2021-03-11,original
2021-03-11,original
2021-03-11,original
2021-03-11,original
2021-03-11,original
2021-03-11,original
2021-03-11,original
2021-03-11,original
2021-03-11,original
2021-03-11,original
2021-03-11,original
2021-03-12,original
2021-03-12,original
2021-03-12,original
2021-03-12,original
2021-03-12,original
2021-03-12,original
2021-03-12,original
2021-03-12,original
2021-03-12,original
2021-03-12,original
2021-03-12,original
2021-03-12,original
2021-03-12,original
2021-03-12,original
2021-03-12,original
2021-03-12,original
2021-03-12,original
2021-03-12,original
2021-03-12,original
2021-03-12,original
2021-03-12,original
2021-03-12,original
2021-03-12,original
2021-03-12,original
2021-03-12,original
2021-03-12,original
2021-03-12,original
2021-03-12,original
2021-03-12,original
2021-03-12,original
2021-03-13,original
2021-03-13,original
2021-03-13,original
2021-03-13,original
2021-03-13,original
2021-03-13,original
2021-03-13,original
2021-03-13,original
2021-03-13,original
2021-03-13,original
2021-03-13,original
2021-03-13,original
2021-03-13,original
2021-03-13,original
2021-03-13,original
2021-03-13,original
2021-03-13,original
2021-03-13,original
2021-03-13,original
2021-03-13,original
2021-03-13,original
2021-03-13,original
2021-03-13,original
2021-03-13,original
