date,cases,deaths,admissions
2020-06-01,45,0,0
2020-06-02,45,0,0
2020-06-03,56,2,0
2020-06-04,66,0,0
2020-06-05,69,0,0
2020-06-06,73,0,0
2020-06-07,78,0,0
2020-06-08,87,1,0
2020-06-09,91,2,0
2020-06-10,92,1,0
2020-06-11,99,2,0
2020-06-12,106,2,0
2020-06-13,123,0,0
2020-06-14,124,0,0
2020-06-15,138,0,0
2020-06-16,158,1,0
2020-06-17,178,1,0
2020-06-18,205,0,0
2020-06-19,241,1,0
2020-06-20,259,2,0
2020-06-21,281,2,0
2020-06-22,307,2,0
2020-06-23,307,2,0
2020-06-24,374,2,0
2020-06-25,388,3,0
2020-06-26,434,3,0
2020-06-27,544,3,0
2020-06-28,620,3,0
2020-06-29,621,3,0
2020-06-30,654,3,0
2020-07-01,653,3,0
2020-07-02,721,3,0
2020-07-03,718,2,0
2020-07-04,653,3,0
2020-07-05,631,3,0
2020-07-06,622,3,0
2020-07-07,659,4,0
2020-07-08,662,3,0
2020-07-09,613,5,0
2020-07-10,660,5,0
2020-07-11,666,5,0
2020-07-12,688,5,0
2020-07-13,736,4,0
2020-07-14,735,4,0
2020-07-15,703,4,3
2020-07-16,699,7,6
2020-07-17,691,7,12
2020-07-18,678,7,16
2020-07-19,651,7,20
2020-07-20,615,8,25
2020-07-21,577,8,34
2020-07-22,553,10,39
2020-07-23,554,7,46
2020-07-24,505,7,48
2020-07-25,503,7,50
2020-07-26,482,9,52
2020-07-27,478,8,53
2020-07-28,468,9,51
2020-07-29,482,9,50
2020-07-30,473,8,45
2020-07-31,440,8,44
2020-08-01,423,9,44
2020-08-02,434,7,44
2020-08-03,424,7,45
2020-08-04,425,8,44
2020-08-05,418,8,42
2020-08-06,403,7,40
2020-08-07,393,7,37
2020-08-08,383,7,34
2020-08-09,353,6,31
2020-08-10,326,6,25
2020-08-11,314,4,24
2020-08-12,286,7,22
2020-08-13,266,7,22
2020-08-14,261,10,24
2020-08-15,253,10,26
2020-08-16,236,14,26
2020-08-17,234,14,28
2020-08-18,230,14,26
2020-08-19,236,12,28
2020-08-20,233,12,27
2020-08-21,228,9,26
2020-08-22,219,8,26
2020-08-23,212,5,27
2020-08-24,207,6,27
2020-08-25,193,6,28
2020-08-26,187,4,27
2020-08-27,185,4,28
2020-08-28,183,3,28
2020-08-29,173,4,26
2020-08-30,185,4,24
2020-08-31,189,3,23
2020-09-01,215,2,21
2020-09-02,216,2,21
2020-09-03,210,3,20
2020-09-04,201,2,19
2020-09-05,211,2,19
2020-09-06,202,2,19
2020-09-07,201,2,19
2020-09-08,171,2,18
2020-09-09,160,2,18
2020-09-10,157,3,18
2020-09-11,165,4,17
2020-09-12,148,4,17
2020-09-13,146,3,18
2020-09-14,151,3,18
2020-09-15,157,4,18
2020-09-16,157,4,17
2020-09-17,173,3,16
2020-09-18,173,3,18
2020-09-19,184,3,17
2020-09-20,186,3,17
2020-09-21,185,3,18
2020-09-22,181,2,19
2020-09-23,184,3,20
2020-09-24,175,3,21
2020-09-25,165,3,19
2020-09-26,162,3,19
2020-09-27,154,3,20
2020-09-28,150,3,20
2020-09-29,157,4,20
2020-09-30,153,5,19
2020-10-01,147,5,19
2020-10-02,151,5,19
2020-10-03,149,6,20
2020-10-04,152,6,18
2020-10-05,154,6,18
2020-10-06,150,5,18
2020-10-07,151,4,21
2020-10-08,171,4,21
2020-10-09,178,4,22
2020-10-10,149,3,22
2020-10-11,178,5,22
2020-10-12,176,6,21
2020-10-13,185,7,22
2020-10-14,193,6,19
2020-10-15,176,7,19
2020-10-16,170,7,17
2020-10-17,210,8,15
2020-10-18,188,6,16
2020-10-19,183,6,17
2020-10-20,191,5,16
2020-10-21,185,5,16
2020-10-22,213,3,16
2020-10-23,217,3,17
2020-10-24,216,2,19
2020-10-25,207,0,20
2020-10-26,220,0,19
2020-10-27,225,0,20
2020-10-28,235,4,31
2020-10-29,214,6,44
2020-10-30,233,8,56
2020-10-31,214,8,58
2020-11-01,252,8,60
2020-11-02,264,9,62
2020-11-03,254,9,65
2020-11-04,254,6,54
2020-11-05,285,4,45
2020-11-06,283,2,35
2020-11-07,299,3,36
2020-11-08,303,4,36
2020-11-09,304,4,38
2020-11-10,307,4,38
2020-11-11,323,3,41
2020-11-12,317,4,38
2020-11-13,315,4,37
2020-11-14,300,3,38
2020-11-15,302,2,36
2020-11-16,305,3,35
2020-11-17,305,3,36
2020-11-18,324,4,36
2020-11-19,330,4,38
2020-11-20,352,4,41
2020-11-21,397,4,40
2020-11-22,368,4,42
2020-11-23,378,4,42
2020-11-24,391,4,42
2020-11-25,371,4,42
2020-11-26,310,3,42
2020-11-27,368,5,40
2020-11-28,353,6,43
2020-11-29,373,6,43
2020-11-30,351,6,43
2020-12-01,369,6,46
2020-12-02,396,5,47
2020-12-03,473,6,47
2020-12-04,410,5,50
2020-12-05,433,5,47
2020-12-06,455,4,47
2020-12-07,472,5,49
2020-12-08,486,5,48
2020-12-09,453,5,49
2020-12-10,504,4,51
2020-12-11,577,4,53
2020-12-12,605,4,55
2020-12-13,604,4,57
2020-12-14,635,5,56
2020-12-15,628,4,57
2020-12-16,660,6,58
2020-12-17,637,5,58
2020-12-18,637,5,58
2020-12-19,647,5,57
2020-12-20,646,6,57
2020-12-21,687,5,57
2020-12-22,691,6,57
2020-12-23,700,5,58
2020-12-24,723,6,61
2020-12-25,589,5,61
2020-12-26,636,5,64
2020-12-27,620,5,67
2020-12-28,563,4,67
2020-12-29,594,4,70
2020-12-30,609,3,69
2020-12-31,608,2,66
2021-01-01,608,2,67
2021-01-02,785,4,66
2021-01-03,810,5,68
2021-01-04,828,4,72
2021-01-05,794,4,71
2021-01-06,862,5,73
2021-01-07,922,6,76
2021-01-08,1085,7,77
2021-01-09,912,5,77
2021-01-10,925,4,74
2021-01-11,989,7,72
2021-01-12,1016,7,74
2021-01-13,969,7,74
2021-01-14,916,8,72
2021-01-15,893,8,72
2021-01-16,825,8,70
2021-01-17,847,8,71
2021-01-18,769,9,72
2021-01-19,753,9,70
2021-01-20,710,7,67
2021-01-21,697,7,66
2021-01-22,644,7,66
2021-01-23,672,8,67
2021-01-24,622,9,65
2021-01-25,628,7,67
