age,start,end,duration
33,restaurant,restaurant,60
33,restaurant,grocery,30
33,grocery,workplace,125
33,workplace,outdoor,20
33,outdoor,house,20
34,house,workplace,180
34,workplace,outdoor,45
34,outdoor,workplace,5
34,workplace,workplace,119
34,workplace,outdoor,30
34,outdoor,outdoor,60
34,outdoor,workplace,200
34,workplace,outdoor,3
34,outdoor,restaurant,45
34,restaurant,outdoor,7
34,outdoor,restaurant,57
34,restaurant,workplace,130
34,workplace,outdoor,60
34,outdoor,restaurant,120
34,restaurant,house,120
35,house,workplace,805
35,workplace,outdoor,20
35,outdoor,grocery,10
35,grocery,workplace,20
35,workplace,workplace,105
35,workplace,outdoor,10
35,outdoor,outdoor,45
35,outdoor,house,45
36,house,workplace,720
36,workplace,outdoor,15
36,outdoor,restaurant,30
36,restaurant,restaurant,180
36,restaurant,outdoor,30
36,outdoor,workplace,258
36,workplace,house,258
37,house,workplace,725
37,workplace,outdoor,15
37,outdoor,outdoor,120
37,outdoor,workplace,180
37,workplace,house,180
38,house,outdoor,180
38,outdoor,outdoor,5
38,outdoor,workplace,195
38,workplace,outdoor,10
38,outdoor,restaurant,184
38,restaurant,restaurant,15
38,restaurant,outdoor,100
38,outdoor,grocery,58
38,grocery,outdoor,10
38,outdoor,outdoor,5
38,outdoor,grocery,30
38,grocery,outdoor,10
38,outdoor,restaurant,28
38,restaurant,workplace,180
38,workplace,house,180
39,house,workplace,325
39,workplace,workplace,140
39,workplace,workplace,70
39,workplace,grocery,120
39,grocery,outdoor,2
39,outdoor,outdoor,45
39,outdoor,outdoor,10
39,outdoor,outdoor,113
39,outdoor,restaurant,74
39,restaurant,restaurant,30
39,restaurant,restaurant,50
39,restaurant,restaurant,120
39,restaurant,workplace,105
39,workplace,house,105
40,house,outdoor,45
40,outdoor,restaurant,60
40,restaurant,workplace,530
40,workplace,restaurant,298
40,restaurant,outdoor,135
40,outdoor,house,135
41,house,workplace,390
41,workplace,grocery,30
41,grocery,outdoor,15
41,outdoor,grocery,30
41,grocery,outdoor,175
41,outdoor,outdoor,30
41,outdoor,outdoor,45
41,outdoor,outdoor,60
41,outdoor,outdoor,13
41,outdoor,restaurant,60
41,restaurant,outdoor,20
41,outdoor,outdoor,2
41,outdoor,restaurant,60
41,restaurant,outdoor,10
41,outdoor,outdoor,30
41,outdoor,workplace,30
41,workplace,outdoor,5
41,outdoor,outdoor,278
41,outdoor,house,278
42,house,outdoor,3
42,outdoor,workplace,305
42,workplace,outdoor,60
42,outdoor,outdoor,90
42,outdoor,restaurant,10
42,restaurant,outdoor,60
42,outdoor,workplace,105
42,workplace,workplace,88
42,workplace,restaurant,60
42,restaurant,outdoor,5
42,outdoor,restaurant,60
42,restaurant,outdoor,140
42,outdoor,outdoor,75
42,outdoor,house,75
43,house,restaurant,15
43,restaurant,outdoor,30
43,outdoor,workplace,188
43,workplace,workplace,60
43,workplace,outdoor,60
43,outdoor,restaurant,30
43,restaurant,restaurant,30
43,restaurant,outdoor,240
43,outdoor,outdoor,8
43,outdoor,outdoor,10
43,outdoor,restaurant,120
43,restaurant,outdoor,10
43,outdoor,outdoor,120
43,outdoor,outdoor,20
43,outdoor,outdoor,90
43,outdoor,house,90
44,house,outdoor,100
44,outdoor,worship,28
44,worship,workplace,295
44,workplace,workplace,90
44,workplace,grocery,60
44,grocery,outdoor,5
44,outdoor,outdoor,10
44,outdoor,outdoor,149
